City 1,City 2,Distance
"New Orleans, LA","New Orleans, LA",0
"New Orleans, LA","Jefferson, LA",7
"New Orleans, LA","Madison, LA",236
"New Orleans, LA","Baltimore, MD",1123
"New Orleans, LA","Catahoula, LA",131
"New Orleans, LA",Natchitoches LA,259
"New Orleans, LA","Plaquemines, LA",66
"New Orleans, LA","St. James, LA",56
"New Orleans, LA","Iberville, LA",107
"New Orleans, LA","Pointe Coupee, LA",113
"New Orleans, LA","Assumption, LA",79
"New Orleans, LA","Avoyelles, LA",161
"New Orleans, LA","Richmond, VA",1002
"New Orleans, LA","St. Bernard, LA",9
"New Orleans, LA","Augusta, GA",611
"New Orleans, LA","St. Louis, MO",677
"New Orleans, LA","Montgomery, AL",311
"New Orleans, LA","Mexico City, Mexico",1273